,circuitId,raceId.x,resultId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time.x,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,...1.x,year,round,name.x,date,time.y,url.x,Rainfall,Rainfall2,Air Temp,Track Temp,Wind Speed,...1.y,circuitRef,name.y,location,country,lat,lng,alt,dist.km.,dist.mile.,Turns,Date.Range,Type,url.y,raceId.y,Avg_Speed,Avg_Speed_MPH,Avg_Throttle,TrackType
12,71,1066,25256,840,117,18,7,11,11,11,0,53,106.2,5547199,35,17,01:40.5,209.555,1,1051,2021,15,Russian Grand Prix,9/26/21,12:00:00,http://en.wikipedia.org/wiki/2021_Russian_Grand_Prix,Minimal,WET,19.13860759,21.75696203,0.290506329,23,sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,2,5.848,3.634,18,2014-present,Race,http://en.wikipedia.org/wiki/Sochi_Autodrom,1004,92.64666667,141.2074548,62.07379087,M
13,13,1001,24031,842,5,10,10,9,9,9,2,44,105.9,5120368,36,9,01:48.6,232.202,1,988,2018,13,Belgian Grand Prix,8/26/18,13:10:00,http://en.wikipedia.org/wiki/2018_Belgian_Grand_Prix,Dry,DRY,17.32735849,27.89811321,2.039622642,9,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,401,7.004,4.352,20,2007-present,Race,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,1001,102.985,152.1308928,62.53343506,F
14,73,1013,24271,840,211,18,13,9,9,9,2,51,103.8,5616758,38,12,01:46.0,203.858,1,1000,2019,4,Azerbaijan Grand Prix,4/28/19,12:10:00,http://en.wikipedia.org/wiki/2019_Azerbaijan_Grand_Prix,Dry,DRY,19.76356589,39.65426357,1.249612403,24,BAK,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,-7,6.003,3.73,20,2017-present,Street,http://en.wikipedia.org/wiki/Baku_City_Circuit,992,101.52,132.2695035,69.8522689,S
15,15,1003,24069,4,1,14,11,7,7,7,6,61,103.0,6774612,57,4,01:43.2,176.677,1,990,2018,15,Singapore Grand Prix,9/16/18,12:10:00,http://en.wikipedia.org/wiki/2018_Singapore_Grand_Prix,Dry,DRY,29.86541353,33.12406015,1.978947368,11,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,18,5.063,3.146,23,2008-present,Street,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit,1003,97.255,116.4526245,55.54023339,S
16,24,1047,24955,840,211,18,8,10,10,10,1,55,102.7,5790314,41,9,01:41.9,196.281,1,1034,2020,17,Abu Dhabi Grand Prix,12/13/20,13:10:00,http://en.wikipedia.org/wiki/2020_Abu_Dhabi_Grand_Prix,Dry,DRY,23.12148148,27.98,2.504444444,17,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,3,5.554,3.451,16,2009-2021,Race,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,1009,92.5,134.3091892,58.91624234,S
17,69,1006,24130,815,10,11,10,8,8,8,4,56,101.1,5759723,45,13,01:40.0,198.483,1,993,2018,18,United States Grand Prix,10/21/18,18:10:00,http://en.wikipedia.org/wiki/2018_United_States_Grand_Prix,Dry,DRY,21.93358779,30.48625954,2.090839695,21,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,161,5.514,3.426,20,2012-present,Race,http://en.wikipedia.org/wiki/Circuit_of_the_Americas,1006,93.02,132.5908407,61.57286775,S
18,24,1047,24954,839,4,31,10,9,9,9,2,55,101.1,5799996,47,18,01:42.9,194.32,1,1034,2020,17,Abu Dhabi Grand Prix,12/13/20,13:10:00,http://en.wikipedia.org/wiki/2020_Abu_Dhabi_Grand_Prix,Dry,DRY,23.12148148,27.98,2.504444444,17,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,3,5.554,3.451,16,2009-2021,Race,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,1009,92.5,134.3091892,58.91624234,S
19,71,1066,25255,847,3,63,3,10,10,10,1,53,100.6,5541552,40,18,01:40.6,209.28,1,1051,2021,15,Russian Grand Prix,9/26/21,12:00:00,http://en.wikipedia.org/wiki/2021_Russian_Grand_Prix,Minimal,WET,19.13860759,21.75696203,0.290506329,23,sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,2,5.848,3.634,18,2014-present,Race,http://en.wikipedia.org/wiki/Sochi_Autodrom,1004,92.64666667,141.2074548,62.07379087,M
20,73,1013,24270,846,1,4,7,8,8,8,4,51,100.3,5613210,43,6,01:45.4,205.047,1,1000,2019,4,Azerbaijan Grand Prix,4/28/19,12:10:00,http://en.wikipedia.org/wiki/2019_Azerbaijan_Grand_Prix,Dry,DRY,19.76356589,39.65426357,1.249612403,24,BAK,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,-7,6.003,3.73,20,2017-present,Street,http://en.wikipedia.org/wiki/Baku_City_Circuit,992,101.52,132.2695035,69.8522689,S
21,34,1059,25096,832,6,55,5,11,11,11,0,53,99.3,5345107,19,18,01:38.9,212.584,1,1044,2021,7,French Grand Prix,6/20/21,13:00:00,http://en.wikipedia.org/wiki/2021_French_Grand_Prix,Dry,DRY,25.3144,35.2288,1.1656,19,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,432,5.842,3.63,15,2005-present,Race,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit,996,90.095,145.0468949,60.39447037,M
