"","raceId","circuitId","X","qualifyId","driverId","constructorId","number","position_indiv","position_team","Fastest_Qual","year","round","Rainfall","Air.Temp","Track.Temp","Wind.Speed","Single","Throttle","Brake","Fastest_Qual_Secs"
"33",1045,3,1121,8677,830,9,33,3,3.5,"01:27.7",2020,15,"Dry",26.25232558,27.89883721,0.665116279,"No",43.8357458407745,0.33724974151706,87.7
"34",1045,3,1122,8678,848,9,23,4,3.5,"01:28.3",2020,15,"Dry",26.25232558,27.89883721,0.665116279,"No",28.5125011749225,0.208478240436131,88.3
"35",1045,3,1123,8679,815,211,11,5,9,"01:28.3",2020,15,"Dry",26.25232558,27.89883721,0.665116279,"No",42.4938904032334,0.325265532474857,88.3
"36",1045,3,1124,8680,817,4,3,6,6.5,"01:28.4",2020,15,"Dry",26.25232558,27.89883721,0.665116279,"No",41.2070213365918,0.266096437635116,88.4
"37",1045,3,1125,8681,839,4,31,7,6.5,"01:28.4",2020,15,"Dry",26.25232558,27.89883721,0.665116279,"No",34.5547043895103,0.245605790017859,88.4
"38",1045,3,1126,8682,842,213,10,8,9,"01:28.4",2020,15,"Dry",26.25232558,27.89883721,0.665116279,"No",53.8790769809193,0.432700441770843,88.4
"39",1045,3,1127,8683,846,1,4,9,12,"01:28.5",2020,15,"Dry",26.25232558,27.89883721,0.665116279,"No",42.5132061283955,0.309098599492434,88.5
"40",1045,3,1128,8684,826,213,26,10,9,"01:28.6",2020,15,"Dry",26.25232558,27.89883721,0.665116279,"No",65.7077262900649,0.528198138922831,88.6
"41",1046,3,1139,8695,822,131,77,1,1.5,"00:53.4",2020,16,"Dry",24.01428571,26.92857143,0.627272727,"No",54.2463481192145,0.408475573866981,53.4
"42",1046,3,1140,8696,847,131,63,2,1.5,"00:53.4",2020,16,"Dry",24.01428571,26.92857143,0.627272727,"No",51.8636631173418,0.389105891165926,53.4
"43",1046,3,1141,8697,830,9,33,3,7.5,"00:53.4",2020,16,"Dry",24.01428571,26.92857143,0.627272727,"No",55.9145486649901,0.456578736154957,53.4
"44",1046,3,1142,8698,844,6,16,4,8.5,"00:53.6",2020,16,"Dry",24.01428571,26.92857143,0.627272727,"No",75.7853282679651,0.619776339022955,53.6
"45",1046,3,1143,8699,815,211,11,5,7.5,"00:53.8",2020,16,"Dry",24.01428571,26.92857143,0.627272727,"No",58.6478677296806,0.500989887099363,53.8
"46",1046,3,1144,8700,826,213,26,6,7.5,"00:53.9",2020,16,"Dry",24.01428571,26.92857143,0.627272727,"No",49.2238214992776,0.331906469045963,53.9
"47",1046,3,1145,8701,817,4,3,7,9,"00:53.9",2020,16,"Dry",24.01428571,26.92857143,0.627272727,"No",31.7301086200439,0.218470758200011,53.9
"48",1046,3,1146,8702,832,1,55,8,11.5,"00:53.8",2020,16,"Dry",24.01428571,26.92857143,0.627272727,"No",59.0015517149125,0.464711862592969,53.8
"49",1046,3,1147,8703,842,213,10,9,7.5,"00:53.9",2020,16,"Dry",24.01428571,26.92857143,0.627272727,"No",48.0537749478303,0.313178875274225,53.9
"50",1046,3,1148,8704,840,211,18,10,7.5,"00:53.8",2020,16,"Dry",24.01428571,26.92857143,0.627272727,"No",54.5823746588903,0.461822462411044,53.8
"51",1052,3,1179,8735,830,9,33,1,6,"01:29.0",2021,1,"Dry",29.06025641,33.84358974,0.966666667,"No",48.1719026905107,0.373556737017346,89
"52",1052,3,1180,8736,1,131,44,2,2.5,"01:29.4",2021,1,"Dry",29.06025641,33.84358974,0.966666667,"No",68.626389560174,0.540840985983567,89.4
"53",1052,3,1181,8737,822,131,77,3,2.5,"01:29.6",2021,1,"Dry",29.06025641,33.84358974,0.966666667,"No",69.6988346490521,0.561194350464529,89.6
"54",1052,3,1182,8738,844,6,16,4,6,"01:29.7",2021,1,"Dry",29.06025641,33.84358974,0.966666667,"No",49.9941463938564,0.395467482949358,89.7
"55",1052,3,1183,8739,842,213,10,5,9,"01:29.8",2021,1,"Dry",29.06025641,33.84358974,0.966666667,"No",50.1484882659363,0.370710488158531,89.8
"56",1052,3,1184,8740,817,1,3,6,6.5,"01:29.9",2021,1,"Dry",29.06025641,33.84358974,0.966666667,"No",40.5355781107352,0.251490252940229,89.9
"57",1052,3,1185,8741,846,1,4,7,6.5,"01:30.0",2021,1,"Dry",29.06025641,33.84358974,0.966666667,"No",41.8219751893024,0.301057945330541,90
"58",1052,3,1186,8742,832,6,55,8,6,"01:30.0",2021,1,"Dry",29.06025641,33.84358974,0.966666667,"No",63.5764459481231,0.49965093174373,90
"59",1052,3,1187,8743,4,214,14,9,12.5,"01:30.2",2021,1,"Dry",29.06025641,33.84358974,0.966666667,"No",28.9641265238172,0.203157725149025,90.2
"60",1052,3,1188,8744,840,117,18,10,14,"01:30.6",2021,1,"Dry",29.06025641,33.84358974,0.966666667,"No",45.7155362225444,0.369743837602707,90.6
"61",1014,4,499,8038,822,131,77,1,1.5,"01:15.4",2019,5,"Dry",21.07012987,33.8,2.198701299,"No",71.6092317256385,0.581619437393151,75.4
"62",1014,4,500,8039,1,131,44,2,1.5,"01:16.0",2019,5,"Dry",21.07012987,33.8,2.198701299,"No",76.210019168005,0.626534735533337,76
"63",1014,4,501,8040,20,6,5,3,4,"01:16.3",2019,5,"Dry",21.07012987,33.8,2.198701299,"No",62.5817230482308,0.496762161322074,76.3
"64",1014,4,502,8041,830,9,33,4,5,"01:16.4",2019,5,"Dry",21.07012987,33.8,2.198701299,"No",62.7061596643009,0.540434129409936,76.4
"65",1014,4,503,8042,844,6,16,5,4,"01:16.6",2019,5,"Dry",21.07012987,33.8,2.198701299,"No",68.3746567891001,0.53354400870331,76.6
"66",1014,4,504,8043,842,9,10,6,5,"01:16.7",2019,5,"Dry",21.07012987,33.8,2.198701299,"No",67.531627208206,0.551054240273533,76.7
"67",1014,4,505,8044,154,210,8,7,7.5,"01:16.9",2019,5,"Dry",21.07012987,33.8,2.198701299,"No",68.9457597264674,0.583536237890483,76.9
