"","raceId","X","qualifyId","driverId","constructorId","number","position_indiv","position_team","Fastest_Qual","year","round","Rainfall","Air.Temp","Track.Temp","Wind.Speed","Single","Throttle","Brake","Fastest_Qual_Secs","circuitId"
"34",990,35,7572,4,1,14,13,13.5,"01:30.2",2018,2,"Dry",28.21447368,31.86447368,0.718421053,"No",83.0183255667836,0.721294308602545,90.2,3
"35",990,36,7573,838,1,2,14,13.5,"01:30.5",2018,2,"Dry",28.21447368,31.86447368,0.718421053,"No",77.2018430284308,0.668307241216818,90.5,3
"36",990,32,7569,832,4,55,10,9,"01:29.8",2018,2,"Dry",28.21447368,31.86447368,0.718421053,"No",36.0113094926436,0.241897481543536,89.8,3
"37",990,23,7560,20,6,5,1,1.5,"01:28.0",2018,2,"Dry",28.21447368,31.86447368,0.718421053,"No",51.8396251112624,0.421749829834023,88,3
"38",990,33,7570,843,5,28,11,8.5,"01:30.1",2018,2,"Dry",28.21447368,31.86447368,0.718421053,"No",71.1434106497722,0.564689250746112,90.1,3
"39",990,34,7571,815,10,11,12,10.5,"01:30.2",2018,2,"Dry",28.21447368,31.86447368,0.718421053,"No",73.2128907272632,0.628724016964239,90.2,3
"40",990,37,7574,830,9,33,15,10,"01:29.4",2018,2,"Dry",28.21447368,31.86447368,0.718421053,"No",85.2164511230955,0.801036703492329,89.4,3
"41",991,43,7580,20,6,5,1,1.5,"01:31.1",2018,3,"Dry",12.80294118,15.54117647,1.848529412,"No",65.9386680861131,0.51449018216229,91.1,17
"42",991,44,7581,8,6,7,2,1.5,"01:31.2",2018,3,"Dry",12.80294118,15.54117647,1.848529412,"No",57.2856635911994,0.395197539626212,91.2,17
"43",991,45,7582,822,131,77,3,3.5,"01:31.6",2018,3,"Dry",12.80294118,15.54117647,1.848529412,"No",73.2951265673054,0.518985095812633,91.6,17
"44",991,52,7589,154,210,8,10,10.5,"01:32.5",2018,3,"Dry",12.80294118,15.54117647,1.848529412,"No",64.4860421102437,0.489649869884079,92.5,17
"45",991,53,7590,825,210,20,11,10.5,"01:33.0",2018,3,"Dry",12.80294118,15.54117647,1.848529412,"No",77.4686538916489,0.636444286728176,93,17
"46",991,50,7587,815,10,11,8,10,"01:32.8",2018,3,"Dry",12.80294118,15.54117647,1.848529412,"No",66.1966524722025,0.511887863733144,92.8,17
"47",991,51,7588,832,4,55,9,8,"01:32.8",2018,3,"Dry",12.80294118,15.54117647,1.848529412,"No",36.7479891175775,0.205583155902531,92.8,17
"48",991,56,7593,838,1,2,14,13.5,"01:33.5",2018,3,"Dry",12.80294118,15.54117647,1.848529412,"No",63.7522474568252,0.521942275845753,93.5,17
"49",991,57,7594,843,5,28,15,16,"01:33.8",2018,3,"Dry",12.80294118,15.54117647,1.848529412,"No",70.1530044949136,0.524899455878874,93.8,17
"50",991,54,7591,839,10,31,12,10,"01:33.1",2018,3,"Dry",12.80294118,15.54117647,1.848529412,"No",67.0716820440028,0.575112372841259,93.1,17
"51",991,55,7592,4,1,14,13,13.5,"01:33.2",2018,3,"Dry",12.80294118,15.54117647,1.848529412,"No",64.7091317719423,0.539626212443814,93.2,17
"52",991,47,7584,830,9,33,5,5.5,"01:31.8",2018,3,"Dry",12.80294118,15.54117647,1.848529412,"No",68.3599479536314,0.553406671398155,91.8,17
"53",991,48,7585,817,9,3,6,5.5,"01:31.9",2018,3,"Dry",12.80294118,15.54117647,1.848529412,"No",50.2469836763662,0.373905843387745,91.9,17
"54",991,49,7586,807,4,27,7,8,"01:32.5",2018,3,"Dry",12.80294118,15.54117647,1.848529412,"No",39.3375325289804,0.250887154009936,92.5,17
"55",991,62,7599,828,15,9,20,19.5,"01:34.9",2018,3,"Dry",12.80294118,15.54117647,1.848529412,"No",82.1714572983203,0.69671161580317,94.9,17
"56",991,46,7583,1,131,44,4,3.5,"01:31.7",2018,3,"Dry",12.80294118,15.54117647,1.848529412,"No",65.3261178140525,0.470723917672108,91.7,17
"57",991,59,7596,842,5,10,17,16,"01:34.1",2018,3,"Dry",12.80294118,15.54117647,1.848529412,"No",79.9658741424178,0.685119470073338,94.1,17
"58",991,60,7597,840,3,18,18,17,"01:34.3",2018,3,"Dry",12.80294118,15.54117647,1.848529412,"No",75.2091909155429,0.661284599006387,94.3,17
"59",991,61,7598,844,15,16,19,19.5,"01:34.5",2018,3,"Dry",12.80294118,15.54117647,1.848529412,"No",80.7842441447835,0.695883605393896,94.5,17
"60",991,58,7595,845,3,35,16,17,"01:34.1",2018,3,"Dry",12.80294118,15.54117647,1.848529412,"No",86.7168795836291,0.779157795126567,94.1,17
"61",992,79,7616,842,5,10,17,18,"01:44.5",2018,4,"Minimal",22.65882353,26.56176471,1.610294118,"No",82.3061622004486,0.696552945342935,104.5,73
"62",992,81,7618,843,5,28,19,18,"01:57.4",2018,4,"Minimal",22.65882353,26.56176471,1.610294118,"No",83.2288985952072,0.755932003305395,117.4,73
