,qualifyId,raceId,driverId,constructorId,number,position_indiv,position_team,Fastest_Qual,year,round,Rainfall,Air Temp,Track Temp,Wind Speed,Single,Throttle,Brake
38,7575,990,154,210,8,16,11.5,01:30.5,2018,2,Dry,28.21447368,31.86447368,0.718421053,No,90.23540499502592,0.8394156762134143
39,7576,990,828,15,9,17,18.0,01:31.1,2018,2,Dry,28.21447368,31.86447368,0.718421053,No,85.76035394523274,0.7445415990365988
40,7577,990,845,3,35,18,19.0,01:31.4,2018,2,Dry,28.21447368,31.86447368,0.718421053,No,90.53919053353579,0.8116655322268181
41,7578,990,844,15,16,19,18.0,01:31.4,2018,2,Dry,28.21447368,31.86447368,0.718421053,No,91.0711555578826,0.8183150950311535
42,7579,990,840,3,18,20,19.0,01:31.5,2018,2,Dry,28.21447368,31.86447368,0.718421053,No,79.79527723964605,0.7051678098329756
43,7580,991,20,6,5,1,1.5,01:31.1,2018,3,Dry,12.80294118,15.54117647,1.848529412,No,65.93866808611308,0.51449018216229
44,7581,991,8,6,7,2,1.5,01:31.2,2018,3,Dry,12.80294118,15.54117647,1.848529412,No,57.28566359119943,0.39519753962621246
45,7582,991,822,131,77,3,3.5,01:31.6,2018,3,Dry,12.80294118,15.54117647,1.848529412,No,73.29512656730542,0.5189850958126331
46,7583,991,1,131,44,4,3.5,01:31.7,2018,3,Dry,12.80294118,15.54117647,1.848529412,No,65.32611781405252,0.47072391767210786
47,7584,991,830,9,33,5,5.5,01:31.8,2018,3,Dry,12.80294118,15.54117647,1.848529412,No,68.35994795363142,0.5534066713981547
48,7585,991,817,9,3,6,5.5,01:31.9,2018,3,Dry,12.80294118,15.54117647,1.848529412,No,50.24698367636622,0.37390584338774546
49,7586,991,807,4,27,7,8.0,01:32.5,2018,3,Dry,12.80294118,15.54117647,1.848529412,No,39.33753252898036,0.2508871540099361
50,7587,991,815,10,11,8,10.0,01:32.8,2018,3,Dry,12.80294118,15.54117647,1.848529412,No,66.1966524722025,0.5118878637331441
51,7588,991,832,4,55,9,8.0,01:32.8,2018,3,Dry,12.80294118,15.54117647,1.848529412,No,36.747989117577475,0.20558315590253134
52,7589,991,154,210,8,10,10.5,01:32.5,2018,3,Dry,12.80294118,15.54117647,1.848529412,No,64.48604211024367,0.48964986988407855
53,7590,991,825,210,20,11,10.5,01:33.0,2018,3,Dry,12.80294118,15.54117647,1.848529412,No,77.46865389164893,0.636444286728176
