"raceId","constructorId","circuitId","year","driverId","resultId","number","grid","position","positionText","positionOrder","time","Air.Temp","Track.Temp","Rainfall","Wind.Speed","track_group","Fastest_Qual","driverRef","team_rank","final_position","constructorRef","circuitRef","Rainfall2","qualifying_mil","Turns","Sharp.Turns","dist_s_turns","dist.mi","dist_turns","turns_s_mile","turns_mile","Type","qualify_time","qualifying_dif"
1002,4,14,2018,832,24050,55,7,9,"9",8,"+1:18.140",22.18989899,30.82222222,"1/4 Race",2.124242424,"High_Speed","01:21.0","sainz",6,7,"renault","monza","Wet",81041,8,6,0.6,3.6,0.45,1.666666667,2.222222222,"Race",81421,1.02804941950391
1002,5,14,2018,842,24056,10,9,15,"15",14,"\N",22.18989899,30.82222222,"1/4 Race",2.124242424,"High_Speed","01:21.4","gasly",9,10,"toro_rosso","monza","Wet",81350,8,6,0.6,3.6,0.45,1.666666667,2.222222222,"Race",81642,1.03083984116061
1002,6,14,2018,20,24046,5,2,4,"4",4,"16.151",22.18989899,30.82222222,"1/4 Race",2.124242424,"High_Speed","01:19.3","vettel",1,4,"ferrari","monza","Wet",79280,8,6,0.6,3.6,0.45,1.666666667,2.222222222,"Race",79199.5,1
1002,6,14,2018,8,24044,7,1,2,"2",2,"8.705",22.18989899,30.82222222,"1/4 Race",2.124242424,"High_Speed","01:19.1","raikkonen",1,2,"ferrari","monza","Wet",79119,8,6,0.6,3.6,0.45,1.666666667,2.222222222,"Race",79199.5,1
1002,9,14,2018,830,24047,33,5,5,"5",5,"18.208",22.18989899,30.82222222,"1/4 Race",2.124242424,"High_Speed","01:20.3","max_verstappen",5,5,"red_bull","monza","Wet",80333,8,6,0.6,3.6,0.45,1.666666667,2.222222222,"Race",80806.5,1.0202905321372
1003,10,15,2018,815,24078,11,7,16,"16",16,"\N",29.86541353,33.12406015,"Dry",1.978947368,"Low_Speed","01:38.0","perez",6,10,"force_india","marina_bay","Dry",97985,17,16,0.196625,3.146,0.185058824,5.085823268,5.403687222,"Street",98175,1.01885147651738
1003,131,15,2018,1,24063,44,1,1,"1",1,"51:11.6",29.86541353,33.12406015,"Dry",1.978947368,"Low_Speed","01:36.0","hamilton",1,1,"mercedes","marina_bay","Dry",96015,17,16,0.196625,3.146,0.185058824,5.085823268,5.403687222,"Street",96358.5,1
1003,131,15,2018,822,24066,77,4,4,"4",4,"51.93",29.86541353,33.12406015,"Dry",1.978947368,"Low_Speed","01:36.7","bottas",1,4,"mercedes","marina_bay","Dry",96702,17,16,0.196625,3.146,0.185058824,5.085823268,5.403687222,"Street",96358.5,1
1003,15,15,2018,844,24071,16,13,9,"9",9,"\N",29.86541353,33.12406015,"Dry",1.978947368,"Low_Speed","01:38.7","leclerc",8,7,"sauber","marina_bay","Dry",98747,17,16,0.196625,3.146,0.185058824,5.085823268,5.403687222,"Street",99056.5,1.02799960563936
1003,3,15,2018,840,24076,18,20,14,"14",14,"\N",29.86541353,33.12406015,"Dry",1.978947368,"Low_Speed","01:41.3","stroll",10,9,"williams","marina_bay","Dry",101334,17,16,0.196625,3.146,0.185058824,5.085823268,5.403687222,"Street",101298.5,1.05126688356502
1003,4,15,2018,832,24070,55,12,8,"8",8,"\N",29.86541353,33.12406015,"Dry",1.978947368,"Low_Speed","01:38.7","sainz",7,6,"renault","marina_bay","Dry",98716,17,16,0.196625,3.146,0.185058824,5.085823268,5.403687222,"Street",98583,1.02308566447174
1003,5,15,2018,842,24075,10,15,13,"13",13,"\N",29.86541353,33.12406015,"Dry",1.978947368,"Low_Speed","01:39.6","gasly",9,8,"toro_rosso","marina_bay","Dry",99614,17,16,0.196625,3.146,0.185058824,5.085823268,5.403687222,"Street",99711.5,1.03479713777197
1003,6,15,2018,20,24065,5,3,3,"3",3,"39.984",29.86541353,33.12406015,"Dry",1.978947368,"Low_Speed","01:36.6","vettel",3,3,"ferrari","marina_bay","Dry",96628,17,16,0.196625,3.146,0.185058824,5.085823268,5.403687222,"Street",96711,1.00365821385763
1003,6,15,2018,8,24067,7,5,5,"5",5,"53.001",29.86541353,33.12406015,"Dry",1.978947368,"Low_Speed","01:36.8","raikkonen",3,5,"ferrari","marina_bay","Dry",96794,17,16,0.196625,3.146,0.185058824,5.085823268,5.403687222,"Street",96711,1.00365821385763
1003,9,15,2018,830,24064,33,2,2,"2",2,"8.961",29.86541353,33.12406015,"Dry",1.978947368,"Low_Speed","01:36.3","max_verstappen",3,2,"red_bull","marina_bay","Dry",96334,17,16,0.196625,3.146,0.185058824,5.085823268,5.403687222,"Street",96665,1.00318082992159
1004,10,71,2018,815,24092,11,8,10,"10",10,"\N",24.77818182,29.94545455,"Minimal",1.997272727,"Med_Speed","01:33.6","perez",5,7,"force_india","sochi","Dry",93563,16,14,0.259571429,3.634,0.227125,3.852504128,4.40286186,"Race",93488,1.02217921593711
1004,131,71,2018,1,24083,44,2,1,"1",1,"27:25.2",24.77818182,29.94545455,"Minimal",1.997272727,"Med_Speed","01:31.5","hamilton",1,1,"mercedes","sochi","Dry",91532,16,14,0.259571429,3.634,0.227125,3.852504128,4.40286186,"Race",91459.5,1
1004,131,71,2018,822,24084,77,1,2,"2",2,"2.545",24.77818182,29.94545455,"Minimal",1.997272727,"Med_Speed","01:31.4","bottas",1,2,"mercedes","sochi","Dry",91387,16,14,0.259571429,3.634,0.227125,3.852504128,4.40286186,"Race",91459.5,1
1004,15,71,2018,844,24089,16,7,7,"7",7,"+1:38.390",24.77818182,29.94545455,"Minimal",1.997272727,"Med_Speed","01:33.4","leclerc",6,6,"sauber","sochi","Dry",93419,16,14,0.259571429,3.634,0.227125,3.852504128,4.40286186,"Race",93707,1.02457371842182
1004,3,71,2018,840,24097,18,14,15,"15",15,"\N",24.77818182,29.94545455,"Minimal",1.997272727,"Med_Speed","01:36.4","stroll",9,8,"williams","sochi","Dry",96437,16,14,0.259571429,3.634,0.227125,3.852504128,4.40286186,"Race",96024.5,1.04991280293463
1004,4,71,2018,832,24099,55,11,17,"17",17,"\N",24.77818182,29.94545455,"Minimal",1.997272727,"Med_Speed","01:34.6","sainz",8,9,"renault","sochi","Dry",94626,16,14,0.259571429,3.634,0.227125,3.852504128,4.40286186,"Race",94640.5,1.03478042193539
1004,6,71,2018,20,24085,5,3,3,"3",3,"7.487",24.77818182,29.94545455,"Minimal",1.997272727,"Med_Speed","01:31.9","vettel",3,3,"ferrari","sochi","Dry",91943,16,14,0.259571429,3.634,0.227125,3.852504128,4.40286186,"Race",92090,1.00689376171967
1004,6,71,2018,8,24086,7,4,4,"4",4,"16.543",24.77818182,29.94545455,"Minimal",1.997272727,"Med_Speed","01:32.2","raikkonen",3,4,"ferrari","sochi","Dry",92237,16,14,0.259571429,3.634,0.227125,3.852504128,4.40286186,"Race",92090,1.00689376171967
1004,9,71,2018,830,24087,33,19,5,"5",5,"31.016",24.77818182,29.94545455,"Minimal",1.997272727,"Med_Speed","01:33.0","max_verstappen",7,5,"red_bull","sochi","Dry",93048,16,14,0.259571429,3.634,0.227125,3.852504128,4.40286186,"Race",93147.5,1.01845625659445
1005,10,22,2018,815,24109,11,9,7,"7",7,"+1:19.379",28.26481481,37.17037037,"Dry",1.791666667,"High_Speed","01:29.6","perez",6,6,"force_india","suzuka","Dry",89567,17,11,0.328090909,3.609,0.212294118,3.047935716,4.710446107,"Race",89552.5,1.01910701178398
1005,131,22,2018,1,24103,44,1,1,"1",1,"27:17.1",28.26481481,37.17037037,"Dry",1.791666667,"High_Speed","01:27.8","hamilton",1,1,"mercedes","suzuka","Dry",87760,17,11,0.328090909,3.609,0.212294118,3.047935716,4.710446107,"Race",87873.5,1
1005,131,22,2018,822,24104,77,2,2,"2",2,"12.919",28.26481481,37.17037037,"Dry",1.791666667,"High_Speed","01:28.0","bottas",1,2,"mercedes","suzuka","Dry",87987,17,11,0.328090909,3.609,0.212294118,3.047935716,4.710446107,"Race",87873.5,1
1005,3,22,2018,840,24119,18,14,17,"17",17,"\N",28.26481481,37.17037037,"Dry",1.791666667,"High_Speed","01:30.3","stroll",9,9,"williams","suzuka","Dry",90317,17,11,0.328090909,3.609,0.212294118,3.047935716,4.710446107,"Race",90344.5,1.02811996790841
1005,4,22,2018,832,24112,55,13,10,"10",10,"\N",28.26481481,37.17037037,"Dry",1.791666667,"High_Speed","01:30.2","sainz",8,7,"renault","suzuka","Dry",90236,17,11,0.328090909,3.609,0.212294118,3.047935716,4.710446107,"Race",90298.5,1.02759648813351
1005,5,22,2018,842,24113,10,7,11,"11",11,"\N",28.26481481,37.17037037,"Dry",1.791666667,"High_Speed","01:29.8","gasly",3,8,"toro_rosso","suzuka","Dry",89810,17,11,0.328090909,3.609,0.212294118,3.047935716,4.710446107,"Race",89829,1.02225358043096
1005,6,22,2018,20,24108,5,8,6,"6",6,"+1:09.873",28.26481481,37.17037037,"Dry",1.791666667,"High_Speed","01:28.3","vettel",3,5,"ferrari","suzuka","Dry",88279,17,11,0.328090909,3.609,0.212294118,3.047935716,4.710446107,"Race",88437,1.00641262724257
1005,6,22,2018,8,24107,7,4,5,"5",5,"50.998",28.26481481,37.17037037,"Dry",1.791666667,"High_Speed","01:28.6","raikkonen",3,4,"ferrari","suzuka","Dry",88595,17,11,0.328090909,3.609,0.212294118,3.047935716,4.710446107,"Race",88437,1.00641262724257
1005,9,22,2018,830,24105,33,3,3,"3",3,"14.295",28.26481481,37.17037037,"Dry",1.791666667,"High_Speed","01:28.8","max_verstappen",6,3,"red_bull","suzuka","Dry",88849,17,11,0.328090909,3.609,0.212294118,3.047935716,4.710446107,"Race",89327.5,1.016546512885
1006,10,69,2018,815,24130,11,10,8,"8",8,"+1:41.080",21.93358779,30.48625954,"Dry",2.090839695,"Med_Speed","01:34.5","perez",5,7,"force_india","americas","Dry",94525,18,12,0.2855,3.426,0.190333333,3.50262697,5.253940455,"Race",94335,1.02201998862436
1006,131,69,2018,1,24125,44,1,3,"3",3,"2.342",21.93358779,30.48625954,"Dry",2.090839695,"Med_Speed","01:32.2","hamilton",1,3,"mercedes","americas","Dry",92237,18,12,0.2855,3.426,0.190333333,3.50262697,5.253940455,"Race",92426.5,1.00134340890008
1006,131,69,2018,822,24127,77,3,5,"5",5,"24.744",21.93358779,30.48625954,"Dry",2.090839695,"Med_Speed","01:32.6","bottas",1,5,"mercedes","americas","Dry",92616,18,12,0.2855,3.426,0.190333333,3.50262697,5.253940455,"Race",92426.5,1.00134340890008
1006,3,69,2018,840,24136,18,15,14,"14",14,"\N",21.93358779,30.48625954,"Dry",2.090839695,"Med_Speed","01:35.5","stroll",9,9,"williams","americas","Dry",95480,18,12,0.2855,3.426,0.190333333,3.50262697,5.253940455,"Race",95421,1.03378565044284
1006,4,69,2018,832,24129,55,11,7,"7",7,"+1:34.994",21.93358779,30.48625954,"Dry",2.090839695,"Med_Speed","01:34.6","sainz",6,6,"renault","americas","Dry",94566,18,12,0.2855,3.426,0.190333333,3.50262697,5.253940455,"Race",94390.5,1.02262127244658
1006,5,69,2018,842,24134,10,19,12,"12",12,"\N",21.93358779,30.48625954,"Dry",2.090839695,"Med_Speed","01:34.9","gasly",8,8,"toro_rosso","americas","Dry",94850,18,12,0.2855,3.426,0.190333333,3.50262697,5.253940455,"Race",95028,1.02952791094499
1006,6,69,2018,20,24126,5,5,4,"4",4,"18.222",21.93358779,30.48625954,"Dry",2.090839695,"Med_Speed","01:32.3","vettel",1,4,"ferrari","americas","Dry",92298,18,12,0.2855,3.426,0.190333333,3.50262697,5.253940455,"Race",92302.5,1
1006,6,69,2018,8,24123,7,2,1,"1",1,"34:18.6",21.93358779,30.48625954,"Dry",2.090839695,"Med_Speed","01:32.3","raikkonen",1,1,"ferrari","americas","Dry",92307,18,12,0.2855,3.426,0.190333333,3.50262697,5.253940455,"Race",92302.5,1
1006,9,69,2018,830,24124,33,18,2,"2",2,"1.281",21.93358779,30.48625954,"Dry",2.090839695,"Med_Speed","01:34.8","max_verstappen",7,2,"red_bull","americas","Dry",94766,18,12,0.2855,3.426,0.190333333,3.50262697,5.253940455,"Race",94130,1.01979903036212
1007,131,32,2018,1,24146,44,3,4,"4",4,"+1:18.738",20.12318841,34.47028986,"Dry",1.55942029,"Low_Speed","01:14.9","hamilton",2,4,"mercedes","rodriguez","Dry",74894,15,10,0.2674,2.674,0.178266667,3.739715782,5.609573672,"Race",75027,1.00341036751725
1007,131,32,2018,822,24147,77,5,5,"5",5,"\N",20.12318841,34.47028986,"Dry",1.55942029,"Low_Speed","01:15.2","bottas",2,5,"mercedes","rodriguez","Dry",75160,15,10,0.2674,2.674,0.178266667,3.739715782,5.609573672,"Race",75027,1.00341036751725
1007,15,32,2018,844,24149,16,9,7,"7",7,"\N",20.12318841,34.47028986,"Dry",1.55942029,"Low_Speed","01:16.2","leclerc",6,6,"sauber","rodriguez","Dry",76189,15,10,0.2674,2.674,0.178266667,3.739715782,5.609573672,"Race",76351,1.02111753062644
1007,3,32,2018,840,24154,18,17,12,"12",12,"\N",20.12318841,34.47028986,"Dry",1.55942029,"Low_Speed","01:17.7","stroll",8,8,"williams","rodriguez","Dry",77689,15,10,0.2674,2.674,0.178266667,3.739715782,5.609573672,"Race",77787.5,1.04032926764029
1007,5,32,2018,842,24152,10,20,10,"10",10,"\N",20.12318841,34.47028986,"Dry",1.55942029,"Low_Speed","01:16.8","gasly",7,7,"toro_rosso","rodriguez","Dry",76828,15,10,0.2674,2.674,0.178266667,3.739715782,5.609573672,"Race",76755,1.02652062269299
1007,6,32,2018,20,24144,5,4,2,"2",2,"17.316",20.12318841,34.47028986,"Dry",1.55942029,"Low_Speed","01:15.0","vettel",4,2,"ferrari","rodriguez","Dry",74970,15,10,0.2674,2.674,0.178266667,3.739715782,5.609573672,"Race",75150,1.00505536831969
1007,6,32,2018,8,24145,7,6,3,"3",3,"49.914",20.12318841,34.47028986,"Dry",1.55942029,"Low_Speed","01:15.3","raikkonen",4,3,"ferrari","rodriguez","Dry",75330,15,10,0.2674,2.674,0.178266667,3.739715782,5.609573672,"Race",75150,1.00505536831969
1007,9,32,2018,830,24143,33,2,1,"1",1,"38:28.9",20.12318841,34.47028986,"Dry",1.55942029,"Low_Speed","01:14.8","max_verstappen",1,1,"red_bull","rodriguez","Dry",74785,15,10,0.2674,2.674,0.178266667,3.739715782,5.609573672,"Race",74772,1
1008,10,18,2018,815,24172,11,12,10,"10",10,"\N",23.7696,40.0688,"Dry",2.1872,"Med_Speed","01:08.7","perez",7,7,"force_india","interlagos","Dry",68741,11,7,0.382428571,2.677,0.243363636,2.614867389,4.109077325,"Race",68755.5,1.02070188981755
1008,131,18,2018,1,24163,44,1,1,"1",1,"27:09.1",23.7696,40.0688,"Dry",2.1872,"Med_Speed","01:07.3","hamilton",1,1,"mercedes","interlagos","Dry",67281,11,7,0.382428571,2.677,0.243363636,2.614867389,4.109077325,"Race",67361,1
1008,131,18,2018,822,24167,77,3,5,"5",5,"+22.943s",23.7696,40.0688,"Dry",2.1872,"Med_Speed","01:07.4","bottas",1,4,"mercedes","interlagos","Dry",67441,11,7,0.382428571,2.677,0.243363636,2.614867389,4.109077325,"Race",67361,1
1008,15,18,2018,844,24169,16,7,7,"7",7,"+44.199s",23.7696,40.0688,"Dry",2.1872,"Med_Speed","01:08.3","leclerc",6,6,"sauber","interlagos","Dry",68335,11,7,0.382428571,2.677,0.243363636,2.614867389,4.109077325,"Race",68315.5,1.01416992028028
1008,3,18,2018,840,24180,18,19,18,"18",18,"\N",23.7696,40.0688,"Dry",2.1872,"Med_Speed","01:09.4","stroll",10,10,"williams","interlagos","Dry",69441,11,7,0.382428571,2.677,0.243363636,2.614867389,4.109077325,"Race",69350,1.02952747138552
1008,4,18,2018,832,24174,55,15,12,"12",12,"\N",23.7696,40.0688,"Dry",2.1872,"Med_Speed","01:09.3","sainz",9,8,"renault","interlagos","Dry",69269,11,7,0.382428571,2.677,0.243363636,2.614867389,4.109077325,"Race",69051.5,1.0250961238699
1008,5,18,2018,842,24175,10,9,13,"13",13,"\N",23.7696,40.0688,"Dry",2.1872,"Med_Speed","01:08.6","gasly",8,9,"toro_rosso","interlagos","Dry",68616,11,7,0.382428571,2.677,0.243363636,2.614867389,4.109077325,"Race",68948,1.02355962649011
1008,6,18,2018,20,24168,5,2,6,"6",6,"+26.997s",23.7696,40.0688,"Dry",2.1872,"Med_Speed","01:07.4","vettel",3,5,"ferrari","interlagos","Dry",67374,11,7,0.382428571,2.677,0.243363636,2.614867389,4.109077325,"Race",67415,1.00080165080685
1008,6,18,2018,8,24165,7,4,3,"3",3,"+4.764s",23.7696,40.0688,"Dry",2.1872,"Med_Speed","01:07.5","raikkonen",3,3,"ferrari","interlagos","Dry",67456,11,7,0.382428571,2.677,0.243363636,2.614867389,4.109077325,"Race",67415,1.00080165080685
1008,9,18,2018,830,24164,33,5,2,"2",2,"+1.469s",23.7696,40.0688,"Dry",2.1872,"Med_Speed","01:07.8","max_verstappen",5,2,"red_bull","interlagos","Dry",67778,11,7,0.382428571,2.677,0.243363636,2.614867389,4.109077325,"Race",67779,1.00620537106041
1009,10,24,2018,815,24190,11,14,8,"8",8,"+1:31.275",31.27372263,33.31824818,"Minimal",2.16350365,"Med_Speed","01:37.3","perez",7,7,"force_india","yas_marina","Dry",97255,13,10,0.3451,3.451,0.265461538,2.897710808,3.767024051,"Race",96897.5,1.02131752305665
1009,131,24,2018,1,24183,44,1,1,"1",1,"39:40.4",31.27372263,33.31824818,"Minimal",2.16350365,"Med_Speed","01:34.8","hamilton",1,1,"mercedes","yas_marina","Dry",94794,13,10,0.3451,3.451,0.265461538,2.897710808,3.767024051,"Race",94875,1
1009,131,24,2018,822,24187,77,2,5,"5",5,"47.957",31.27372263,33.31824818,"Minimal",2.16350365,"Med_Speed","01:35.0","bottas",1,4,"mercedes","yas_marina","Dry",94956,13,10,0.3451,3.451,0.265461538,2.897710808,3.767024051,"Race",94875,1
1009,15,24,2018,844,24189,16,8,7,"7",7,"+1:30.789",31.27372263,33.31824818,"Minimal",2.16350365,"Med_Speed","01:36.2","leclerc",5,6,"sauber","yas_marina","Dry",96237,13,10,0.3451,3.451,0.265461538,2.897710808,3.767024051,"Race",96684.5,1.01907246376812
1009,3,24,2018,840,24195,18,20,13,"13",13,"\N",31.27372263,33.31824818,"Minimal",2.16350365,"Med_Speed","01:38.7","stroll",8,8,"williams","yas_marina","Dry",98682,13,10,0.3451,3.451,0.265461538,2.897710808,3.767024051,"Race",98658.5,1.03987878787879
1009,4,24,2018,832,24188,55,11,6,"6",6,"+1:12.548",31.27372263,33.31824818,"Minimal",2.16350365,"Med_Speed","01:37.0","sainz",6,5,"renault","yas_marina","Dry",96982,13,10,0.3451,3.451,0.265461538,2.897710808,3.767024051,"Race",96762,1.01988932806324
1009,6,24,2018,20,24184,5,3,2,"2",2,"2.581",31.27372263,33.31824818,"Minimal",2.16350365,"Med_Speed","01:35.1","vettel",3,2,"ferrari","yas_marina","Dry",95125,13,10,0.3451,3.451,0.265461538,2.897710808,3.767024051,"Race",95245,1.00389986824769
1009,9,24,2018,830,24185,33,6,3,"3",3,"12.706",31.27372263,33.31824818,"Minimal",2.16350365,"Med_Speed","01:35.6","max_verstappen",4,3,"red_bull","yas_marina","Dry",95589,13,10,0.3451,3.451,0.265461538,2.897710808,3.767024051,"Race",95495,1.006534914361
1010,131,1,2019,1,24204,44,1,2,"2",2,"20.886",23.47786885,41.31311475,"Dry",1.166393443,"Med_Speed","01:20.5","hamilton",1,2,"mercedes","albert_park","Dry",80486,16,8,0.412,3.296,0.206,2.427184466,4.854368932,"Race",80542,1
1010,131,1,2019,822,24203,77,2,1,"1",1,"25:27.3",23.47786885,41.31311475,"Dry",1.166393443,"Med_Speed","01:20.6","bottas",1,1,"mercedes","albert_park","Dry",80598,16,8,0.412,3.296,0.206,2.427184466,4.854368932,"Race",80542,1
1010,211,1,2019,815,24215,11,10,13,"13",13,"\N",23.47786885,41.31311475,"Dry",1.166393443,"Med_Speed","01:22.5","perez",8,9,"racing_point","albert_park","Dry",82532,16,8,0.412,3.296,0.206,2.427184466,4.854368932,"Race",82774.5,1.02771845745077
1010,211,1,2019,840,24211,18,16,9,"9",9,"\N",23.47786885,41.31311475,"Dry",1.166393443,"Med_Speed","01:23.0","stroll",8,7,"racing_point","albert_park","Dry",83017,16,8,0.412,3.296,0.206,2.427184466,4.854368932,"Race",82774.5,1.02771845745077
1010,51,1,2019,8,24210,7,9,8,"8",8,"\N",23.47786885,41.31311475,"Dry",1.166393443,"Med_Speed","01:22.3","raikkonen",7,6,"alfa","albert_park","Dry",82314,16,8,0.412,3.296,0.206,2.427184466,4.854368932,"Race",82372.5,1.02272727272727
1010,6,1,2019,20,24206,5,3,4,"4",4,"57.109",23.47786885,41.31311475,"Dry",1.166393443,"Med_Speed","01:21.2","vettel",3,4,"ferrari","albert_park","Dry",81190,16,8,0.412,3.296,0.206,2.427184466,4.854368932,"Race",81316,1.00960989297509
1010,6,1,2019,844,24207,16,5,5,"5",5,"58.203",23.47786885,41.31311475,"Dry",1.166393443,"Med_Speed","01:21.4","leclerc",3,5,"ferrari","albert_park","Dry",81442,16,8,0.412,3.296,0.206,2.427184466,4.854368932,"Race",81316,1.00960989297509
1010,9,1,2019,830,24205,33,4,3,"3",3,"22.52",23.47786885,41.31311475,"Dry",1.166393443,"Med_Speed","01:21.3","max_verstappen",5,3,"red_bull","albert_park","Dry",81320,16,8,0.412,3.296,0.206,2.427184466,4.854368932,"Race",82170,1.02021305654193
