"raceId","resultId","grid","year","Air.Temp","Track.Temp","Wind.Speed","track_group","driverRef","team_rank","final_position","constructorRef","circuitRef","Rainfall2"
990,23802,1,2018,"27.982524271844653","32.19805825242719","0.9582524271844662","Med_Speed","vettel",1,1,"ferrari","bahrain","Dry"
1046,24936,9,2020,"20.947244094488195","23.469291338582668","1.9480314960629919","Med_Speed","gasly",2,5,"alphatauri","bahrain","Dry"
1011,24232,14,2019,"26.210852713178294","28.610852713178296","2.7108527131782947","Med_Speed","perez",8,8,"racing_point","bahrain","Dry"
1052,24980,20,2021,"20.53834586466165","27.627819548872182","0.8872180451127819","Med_Speed","vettel",9,9,"aston_martin","bahrain","Dry"
990,23805,5,2018,"27.982524271844653","32.19805825242719","0.9582524271844662","Med_Speed","gasly",4,4,"toro_rosso","bahrain","Dry"
990,23815,20,2018,"27.982524271844653","32.19805825242719","0.9582524271844662","Med_Speed","stroll",8,7,"williams","bahrain","Dry"
1011,24224,4,2019,"26.210852713178294","28.610852713178296","2.7108527131782947","Med_Speed","bottas",3,2,"mercedes","bahrain","Dry"
1045,24907,3,2020,"25.09907407407407","27.548148148148147","0.8430555555555557","Med_Speed","max_verstappen",3,2,"red_bull","bahrain","Dry"
1045,24920,17,2020,"25.09907407407407","27.548148148148147","0.8430555555555557","Med_Speed","raikkonen",9,8,"alfa","bahrain","Dry"
1052,24970,0,2021,"20.53834586466165","27.627819548872182","0.8872180451127819","Med_Speed","perez",3,4,"red_bull","bahrain","Dry"
1011,24236,18,2019,"26.210852713178294","28.610852713178296","2.7108527131782947","Med_Speed","stroll",8,9,"racing_point","bahrain","Dry"
1045,24910,15,2020,"25.09907407407407","27.548148148148147","0.8430555555555557","Med_Speed","sainz",8,3,"mclaren","bahrain","Dry"
1011,24223,3,2019,"26.210852713178294","28.610852713178296","2.7108527131782947","Med_Speed","hamilton",3,1,"mercedes","bahrain","Dry"
1011,24229,8,2019,"26.210852713178294","28.610852713178296","2.7108527131782947","Med_Speed","raikkonen",7,6,"alfa","bahrain","Dry"
1046,24926,5,2020,"20.947244094488195","23.469291338582668","1.9480314960629919","Med_Speed","perez",2,1,"racing_point","bahrain","Dry"
1011,24230,13,2019,"26.210852713178294","28.610852713178296","2.7108527131782947","Med_Speed","gasly",5,7,"red_bull","bahrain","Dry"
1045,24918,11,2020,"25.09907407407407","27.548148148148147","0.8430555555555557","Med_Speed","vettel",6,7,"ferrari","bahrain","Dry"
1011,24227,2,2019,"26.210852713178294","28.610852713178296","2.7108527131782947","Med_Speed","vettel",1,5,"ferrari","bahrain","Dry"
1046,24939,18,2020,"20.947244094488195","23.469291338582668","1.9480314960629919","Med_Speed","raikkonen",7,7,"alfa","bahrain","Dry"
990,23813,19,2018,"27.982524271844653","32.19805825242719","0.9582524271844662","Med_Speed","leclerc",7,6,"sauber","bahrain","Dry"
990,23817,12,2018,"27.982524271844653","32.19805825242719","0.9582524271844662","Med_Speed","perez",6,8,"force_india","bahrain","Dry"
1036,24732,11,2020,"29.7968992248062","47.55581395348836","1.5449612403100776","Med_Speed","vettel",7,7,"ferrari","catalunya","Dry"
1055,25032,6,2021,"22.203076923076924","32.9223076923077","0.4576923076923077","Med_Speed","sainz",3,6,"ferrari","catalunya","Dry"
993,23865,3,2018,"16.050476190476193","32.33904761904761","1.9523809523809523","Med_Speed","vettel",3,4,"ferrari","catalunya","Wet"
993,23862,1,2018,"16.050476190476193","32.33904761904761","1.9523809523809523","Med_Speed","hamilton",1,1,"mercedes","catalunya","Wet"
1014,24296,14,2019,"20.147727272727273","40.72727272727273","1.9295454545454545","Med_Speed","raikkonen",8,8,"alfa","catalunya","Dry"
1036,24739,14,2020,"29.7968992248062","47.55581395348836","1.5449612403100776","Med_Speed","raikkonen",9,9,"alfa","catalunya","Dry"
993,23864,5,2018,"16.050476190476193","32.33904761904761","1.9523809523809523","Med_Speed","max_verstappen",4,3,"red_bull","catalunya","Wet"
1055,25038,13,2021,"22.203076923076924","32.9223076923077","0.4576923076923077","Med_Speed","vettel",7,10,"aston_martin","catalunya","Dry"
1055,25036,11,2021,"22.203076923076924","32.9223076923077","0.4576923076923077","Med_Speed","stroll",7,8,"aston_martin","catalunya","Dry"
1014,24288,6,2019,"20.147727272727273","40.72727272727273","1.9295454545454545","Med_Speed","gasly",5,6,"red_bull","catalunya","Dry"
993,23872,18,2018,"16.050476190476193","32.33904761904761","1.9523809523809523","Med_Speed","stroll",8,8,"williams","catalunya","Wet"
1055,25028,3,2021,"22.203076923076924","32.9223076923077","0.4576923076923077","Med_Speed","bottas",1,3,"mercedes","catalunya","Dry"
1055,25026,1,2021,"22.203076923076924","32.9223076923077","0.4576923076923077","Med_Speed","hamilton",1,1,"mercedes","catalunya","Dry"
1014,24283,2,2019,"20.147727272727273","40.72727272727273","1.9295454545454545","Med_Speed","hamilton",1,1,"mercedes","catalunya","Dry"
1055,25037,17,2021,"22.203076923076924","32.9223076923077","0.4576923076923077","Med_Speed","raikkonen",10,9,"alfa","catalunya","Dry"
1014,24287,5,2019,"20.147727272727273","40.72727272727273","1.9295454545454545","Med_Speed","leclerc",3,5,"ferrari","catalunya","Dry"
993,23868,9,2018,"16.050476190476193","32.33904761904761","1.9523809523809523","Med_Speed","sainz",5,5,"renault","catalunya","Wet"
1036,24728,2,2020,"29.7968992248062","47.55581395348836","1.5449612403100776","Med_Speed","bottas",1,3,"mercedes","catalunya","Dry"
1055,25030,8,2021,"22.203076923076924","32.9223076923077","0.4576923076923077","Med_Speed","perez",3,5,"red_bull","catalunya","Dry"
1014,24284,1,2019,"20.147727272727273","40.72727272727273","1.9295454545454545","Med_Speed","bottas",1,2,"mercedes","catalunya","Dry"
1014,24286,3,2019,"20.147727272727273","40.72727272727273","1.9295454545454545","Med_Speed","vettel",3,4,"ferrari","catalunya","Dry"
1014,24290,12,2019,"20.147727272727273","40.72727272727273","1.9295454545454545","Med_Speed","sainz",7,7,"mclaren","catalunya","Dry"
1036,24727,3,2020,"29.7968992248062","47.55581395348836","1.5449612403100776","Med_Speed","max_verstappen",3,2,"red_bull","catalunya","Dry"
993,23871,14,2018,"16.050476190476193","32.33904761904761","1.9523809523809523","Med_Speed","leclerc",7,7,"sauber","catalunya","Wet"
1055,25027,2,2021,"22.203076923076924","32.9223076923077","0.4576923076923077","Med_Speed","max_verstappen",3,2,"red_bull","catalunya","Dry"
1036,24734,10,2020,"29.7968992248062","47.55581395348836","1.5449612403100776","Med_Speed","gasly",8,8,"alphatauri","catalunya","Dry"
1014,24297,15,2019,"20.147727272727273","40.72727272727273","1.9295454545454545","Med_Speed","perez",8,9,"racing_point","catalunya","Dry"
