"","raceId","circuitId","X","qualifyId","driverId","constructorId","number","position_indiv","position_team","Fastest_Qual","year","round","Rainfall","Air.Temp","Track.Temp","Wind.Speed","Single","Throttle","Brake","Fastest_Qual_Secs"
"32",1001,13,261,7798,840,3,18,19,18.5,"01:45.1",2018,13,"Minimal",14.60886076,25.98227848,1.789873418,"No",71.0049733748618,0.617502260624937,105.1
"33",1001,13,258,7795,832,4,55,16,15.5,"01:44.5",2018,13,"Minimal",14.60886076,25.98227848,1.789873418,"No",65.1123279413242,0.56847181754245,104.5
"34",1001,13,259,7796,4,1,14,17,18.5,"01:44.9",2018,13,"Minimal",14.60886076,25.98227848,1.789873418,"No",92.9142469607154,0.827137546468402,104.9
"35",1001,13,251,7788,825,210,20,9,7,"01:43.3",2018,13,"Minimal",14.60886076,25.98227848,1.789873418,"No",66.6230784688034,0.456897417863961,103.3
"36",1001,13,252,7789,822,131,77,10,5.5,"01:42.2",2018,13,"Minimal",14.60886076,25.98227848,1.789873418,"No",84.3131719079674,0.740329548879735,102.2
"37",1001,13,253,7790,842,5,10,11,11.5,"01:43.8",2018,13,"Minimal",14.60886076,25.98227848,1.789873418,"No",76.982869486587,0.576409122877524,103.8
"38",1001,13,249,7786,830,9,33,7,7.5,"01:42.6",2018,13,"Minimal",14.60886076,25.98227848,1.789873418,"No",65.0576710539536,0.531899929669446,102.6
"39",1001,13,250,7787,817,9,3,8,7.5,"01:43.1",2018,13,"Minimal",14.60886076,25.98227848,1.789873418,"No",47.3494926152919,0.294283130714357,103.1
"40",1001,13,262,7799,838,1,2,20,18.5,"01:45.3",2018,13,"Minimal",14.60886076,25.98227848,1.789873418,"No",90.7475635486788,0.78845574198734,105.3
"41",1002,14,270,7807,839,10,31,8,12,"01:21.1",2018,14,"Minimal",20.14936709,29.6443038,1.294936709,"No",58.9162447039372,0.433243773896869,81.1
"42",1002,14,281,7818,828,15,9,19,18,"01:22.0",2018,14,"Minimal",20.14936709,29.6443038,1.294936709,"No",73.5176190968275,0.607574661568668,82
"43",1002,14,282,7819,838,1,2,20,16.5,"01:22.1",2018,14,"Minimal",20.14936709,29.6443038,1.294936709,"No",68.317970445386,0.587268781647205,82.1
